[2023.09.07 13:33:58 - error] [parser] Parser module E:/wondertrader/src/QuoteFactory/parsers/ParserInsight.dll loading failed
[2023.09.07 13:35:25 - debug] processing order data of 113537.SH
[2023.09.07 13:35:25 - debug] processing order data of 600183.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113647.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 123018.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113063.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 601127.SH
[2023.09.07 13:35:25 - debug] processing order data of 300607.SZ
[2023.09.07 13:35:25 - debug] code: 603305, date: 20230907, exchg: SSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing transaction data of 123018.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113063.SH
[2023.09.07 13:35:25 - debug] processing order data of 601127.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300511.SZ
[2023.09.07 13:35:25 - debug] code: 300652, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] code: 300567, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 601127.SH
[2023.09.07 13:35:25 - debug] processing order data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300511.SZ
[2023.09.07 13:35:25 - debug] processing order data of 128120.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300567.SZ
[2023.09.07 13:35:25 - debug] code: 603660, date: 20230907, exchg: SSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 128133.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300473.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113065.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 300567.SZ
[2023.09.07 13:35:25 - debug] processing order data of 603051.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 300607.SZ
[2023.09.07 13:35:25 - debug] code: 300666, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 113058.SH
[2023.09.07 13:35:25 - debug] processing order data of 300567.SZ
[2023.09.07 13:35:25 - debug] processing order data of 603051.SH
[2023.09.07 13:35:25 - debug] processing order data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300527.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113058.SH
[2023.09.07 13:35:25 - debug] processing order data of 002562.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 603602.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 300527.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300473.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 002562.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 603602.SH
[2023.09.07 13:35:25 - debug] processing order data of 300607.SZ
[2023.09.07 13:35:25 - debug] code: 300682, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 300511.SZ
